method,metric,seed,value
Bx,scan_per_result,110,6.880351262349067
MARI,reloc_per_update,111,0.024616290315798327
MARI,verify_per_result,111,1.0055081370205987
MARI,scan_per_result,111,1.2083077273244567
ART,reloc_per_update,111,0.990875
ART,verify_per_result,111,0.0
ART,scan_per_result,111,5.642744964151587
PGM,reloc_per_update,111,0.990875
PGM,verify_per_result,111,1.3847274382610675
PGM,scan_per_result,111,1.3847274382610675
Bx,reloc_per_update,111,0.990875
Bx,verify_per_result,111,6.898167747809263
Bx,scan_per_result,111,6.898167747809263
